JQ0098,Melbourne,Maroochydore,240.12
VR0038,SaoVicenteIsland,SaoNocolauIsland,792.80
FR0764,Dole,Lisbon,770.26
ET0294,Ndola,AddisAbaba,889.64
AB0240,Frankfurt,Moscow,250.85
SK0015,Alesund,Trondheim,862.67
GA0026,Balikpapan,Surabaya,932.38
CA1007,Jinan,Taiyuan,851.66
JD0009,Zhengzhou,Baotou,1018.14
VA0091,Christchurch,Sydney,326.77
US1900,Tucson,Phoenix,1031.57
SV0237,Khartoum,Jeddah,831.08
LA0209,PuertoMaldonado,Lima,518.75
AA2328,Vancouver,Seattle,325.92
NH0093,Fukuoka,Tokyo,595.15
US1740,SanDiego,NewYork,1072.56
IR0079,Tehran,London,997.76
TU0138,Tunis,Ouagadougou,1029.10
JP0038,Vienna,Ljubljana,823.80
AM0061,Caracas,MexicoCity,1098.89
DL1677,Roatan,Atlanta,1128.15
U20867,Nice,Liverpool,987.77
MU0802,Shanghai,Linyi,842.19
4U0443,Berlin,Stuttgart,508.90
SV0040,Mumbai,Dammam,725.72
LI0022,Dominica,Pointe-a-pitre,412.90
UA1662,Ouagadougou,Abidjan,1115.64
AZ0386,Rome,Florence,1077.78
AB0477,Enfidha,Dresden,679.40
NK0153,NewYork,Chicago,433.32
CA1050,Taiyuan,Kunming,587.24
S40011,Faro,Lisbon,1144.40
AC0705,CockburnTown,Providenciales,758.09
U21098,Toulouse,Lyon,587.92
HZ0009,Tokyo,Yuzhno-sakhalinsk,362.50
LA0216,PuntaCana,Lima,913.77
OM0010,UlanBator,Tokyo,452.15
ET0034,AddisAbaba,Dubai,1198.28
5T0039,CapeDorset,Iqaluit,331.42
KU0058,Kuwait,NewYork,427.15
NS0045,Shenzhen,Shijiazhuang,423.27
EI0072,Dublin,Catania,692.16
VW0025,MexicoCity,Zihuatanejo,1019.29
CZ0147,Guangzhou,Xi'an,462.12
SV0241,KualaLumpur,Riyadh,508.43
AM0412,Torreon,Guadalajara,1189.97
EK0227,Lyon,Dubai,528.53
QR0152,Doha,Singapore,375.44
AA0593,Dallas-FortWorth,LexingtonKY,982.49
FR1525,Malta,Pisa,599.91
DL0194,Atlanta,Chicago,1180.15
LX0144,Munich,Geneva,470.89
A30129,Kalymnos,Kos,645.10
FR1977,Rygge,PalmadeMallorca,468.59
CZ0100,Guangzhou,LosAngeles,558.78
SG0100,Goa,Bangalore,216.07
NL0059,Sharjah,Sialkot,815.62
A30043,Athens,Leros,756.08
CA0899,Sanya,Taiyuan,941.39
QF0244,Muscat,Dubai,288.80
CZ0954,Shanghai,Nanning,374.85
3M0054,FortMyers,KeyWest,218.70
A30159,Leros,Kalymnos,683.92
WN0338,Dallas-FortWorth,FortMyers,568.96
AB0741,Vienna,Hamburg,1063.45
HO0040,Osaka,Shanghai,494.78
OS0238,Toronto,Vienna,929.28
HU0370,Shanghai,Tianjin,1144.10
DL0716,Newark,Detroit,633.45
US1404,Chicago,SantaAna,1004.05
AA1537,Tokyo,Nagoya,936.22
MU0109,ChiangMai,Shanghai,373.17
WN0756,Minneapolis,Chicago,1143.03
AP0032,London,Palermo,968.89
AF0600,Havana,Paris,288.39
AC0284,Edmonton,Vancouver,238.61
LH0333,Frankfurt,Osaka,504.06
6E0177,Lucknow,Delhi,687.78
SQ0095,Beijing,Singapore,290.74
WN0946,FortMyers,Baltimore,757.00
DY0445,Oslo,Milano,990.29
U20453,Geneva,PalmadeMallorca,1028.35
AA1601,Chicago,Denver,468.03
SK0189,Copenhagen,Leeds,270.67
UA1771,RapidCity,Chicago,868.67
SK0031,Amsterdam,Copenhagen,246.92
AZ0303,Colombo,Rome,1121.33
DD0035,NakhonSiThammarat,Bangkok,655.10
NH0239,Osaka,Tokyo,1158.45
CA0728,Beijing,Liuzhou,919.75
7H0147,Nome,Shishmaref,1196.07
UA0405,Denver,Missoula,727.07
AP0012,Catania,Amsterdam,719.54
KS0001,KingSalmon,Anchorage,1173.59
FR0646,Rome,Memmingen,744.94
UA1370,MarshHarbor,FortLauderdale,662.80
AA1037,LosAngeles,Anchorage,560.57
AF0203,Atlanta,Valdosta,767.57
FM0020,Dandong,Qingdao,580.39
IB0783,Tanger,Madrid,431.63
SK0219,Copenhagen,Stavanger,730.80
DY0520,Berlin,Trondheim,659.48
AZ0048,Amsterdam,Trondheim,891.24
U20097,Belfast,Alicante,408.68
8E0015,Kiana,Kotzebue,766.05
Y40189,Uruapan,Tijuana,465.35
SA0038,Dakar,Bamako,532.64
